Filename,Sign
09199.ppm,Speed limit (80km/h)
09200.ppm,Speed limit (80km/h)
09201.ppm,Keep right
09202.ppm,Speed limit (70km/h)
09203.ppm,Ahead only
09204.ppm,Ahead only
09205.ppm,Speed limit (50km/h)
09206.ppm,Double curve
09207.ppm,Beware of ice/snow
09208.ppm,No passing
09209.ppm,Children crossing
09210.ppm,Speed limit (30km/h)
09211.ppm,Speed limit (50km/h)
09212.ppm,Speed limit (50km/h)
09213.ppm,No vechiles
09214.ppm,General caution
09215.ppm,Turn right ahead
09216.ppm,General caution
09217.ppm,Speed limit (100km/h)
09218.ppm,Right-of-way at the next intersection
09219.ppm,No passing for vechiles over 3.5 metric tons
09220.ppm,No vechiles
09221.ppm,No passing for vechiles over 3.5 metric tons
09222.ppm,Priority road
09223.ppm,Wild animals crossing
09224.ppm,Ahead only
09225.ppm,Yield
09226.ppm,Speed limit (120km/h)
09227.ppm,Bumpy road
09228.ppm,Speed limit (60km/h)
09229.ppm,Turn left ahead
09230.ppm,Right-of-way at the next intersection
09231.ppm,No passing for vechiles over 3.5 metric tons
09232.ppm,Yield
09233.ppm,Speed limit (70km/h)
09234.ppm,End of speed limit (80km/h)
09235.ppm,Road work
09236.ppm,Speed limit (30km/h)
09237.ppm,General caution
09238.ppm,Keep right
09239.ppm,Dangerous curve to the left
09240.ppm,Speed limit (120km/h)
09241.ppm,Right-of-way at the next intersection
09242.ppm,General caution
09243.ppm,Pedestrians
09244.ppm,Right-of-way at the next intersection
09245.ppm,Speed limit (80km/h)
09246.ppm,No passing
09247.ppm,Ahead only
09248.ppm,Keep right
09249.ppm,Speed limit (120km/h)
09250.ppm,Keep right
09251.ppm,Speed limit (120km/h)
09252.ppm,Priority road
09253.ppm,Speed limit (80km/h)
09254.ppm,Speed limit (50km/h)
09255.ppm,Stop
09256.ppm,Yield
09257.ppm,No entry
09258.ppm,Speed limit (120km/h)
09259.ppm,Keep left
09260.ppm,Speed limit (60km/h)
09261.ppm,General caution
09262.ppm,Speed limit (70km/h)
09263.ppm,Roundabout mandatory
09264.ppm,Children crossing
09265.ppm,Right-of-way at the next intersection
09266.ppm,Speed limit (30km/h)
09267.ppm,Speed limit (120km/h)
09268.ppm,No entry
09269.ppm,Road work
09270.ppm,Speed limit (100km/h)
09271.ppm,Speed limit (50km/h)
09272.ppm,No passing
09273.ppm,Speed limit (50km/h)
09274.ppm,Speed limit (120km/h)
09275.ppm,Roundabout mandatory
09276.ppm,Keep left
09277.ppm,Keep right
09278.ppm,Slippery road
09279.ppm,Yield
09280.ppm,Speed limit (50km/h)
09281.ppm,No entry
09282.ppm,Speed limit (30km/h)
09283.ppm,Turn left ahead
09284.ppm,Speed limit (80km/h)
09285.ppm,Yield
09286.ppm,Speed limit (60km/h)
09287.ppm,Speed limit (30km/h)
09288.ppm,Dangerous curve to the right
09289.ppm,Speed limit (80km/h)
09290.ppm,Double curve
09291.ppm,Speed limit (60km/h)
09292.ppm,Right-of-way at the next intersection
09293.ppm,Ahead only
09294.ppm,Speed limit (30km/h)
09295.ppm,Vechiles over 3.5 metric tons prohibited
09296.ppm,Ahead only
09297.ppm,Yield
09298.ppm,Roundabout mandatory
09299.ppm,Stop
09300.ppm,Speed limit (30km/h)
09301.ppm,Speed limit (50km/h)
09302.ppm,Speed limit (30km/h)
09303.ppm,Turn right ahead
09304.ppm,Speed limit (30km/h)
09305.ppm,Speed limit (120km/h)
09306.ppm,Speed limit (70km/h)
09307.ppm,Speed limit (80km/h)
09308.ppm,End of speed limit (80km/h)
09309.ppm,Speed limit (100km/h)
09310.ppm,General caution
09311.ppm,Vechiles over 3.5 metric tons prohibited
09312.ppm,Double curve
09313.ppm,No passing for vechiles over 3.5 metric tons
09314.ppm,Road work
09315.ppm,Speed limit (70km/h)
09316.ppm,Priority road
09317.ppm,Traffic signals
09318.ppm,Road work
09319.ppm,Road work
09320.ppm,Speed limit (30km/h)
09321.ppm,No entry
09322.ppm,General caution
09323.ppm,Stop
09324.ppm,Yield
09325.ppm,Speed limit (30km/h)
09326.ppm,Yield
09327.ppm,Right-of-way at the next intersection
09328.ppm,Dangerous curve to the right
09329.ppm,Speed limit (120km/h)
09330.ppm,Speed limit (80km/h)
09331.ppm,Speed limit (50km/h)
09332.ppm,Speed limit (120km/h)
09333.ppm,Speed limit (80km/h)
09334.ppm,Priority road
09335.ppm,Children crossing
09336.ppm,Beware of ice/snow
09337.ppm,Speed limit (50km/h)
09338.ppm,No passing for vechiles over 3.5 metric tons
09339.ppm,Speed limit (30km/h)
09340.ppm,Priority road
09341.ppm,Ahead only
09342.ppm,Yield
09343.ppm,General caution
09344.ppm,General caution
09345.ppm,End of all speed and passing limits
09346.ppm,Bumpy road
09347.ppm,Dangerous curve to the right
09348.ppm,Road work
09349.ppm,Speed limit (100km/h)
09350.ppm,Speed limit (30km/h)
09351.ppm,Right-of-way at the next intersection
09352.ppm,General caution
09353.ppm,No passing for vechiles over 3.5 metric tons
09354.ppm,Keep right
09355.ppm,Dangerous curve to the left
09356.ppm,Ahead only
09357.ppm,Speed limit (50km/h)
09358.ppm,Go straight or right
09359.ppm,Speed limit (30km/h)
09360.ppm,Slippery road
09361.ppm,Ahead only
09362.ppm,Children crossing
09363.ppm,Speed limit (120km/h)
09364.ppm,Yield
09365.ppm,Speed limit (80km/h)
09366.ppm,No passing for vechiles over 3.5 metric tons
09367.ppm,Speed limit (60km/h)
09368.ppm,Speed limit (80km/h)
09369.ppm,Priority road
09370.ppm,No passing for vechiles over 3.5 metric tons
09371.ppm,Speed limit (50km/h)
09372.ppm,Stop
09373.ppm,Slippery road
09374.ppm,Speed limit (50km/h)
09375.ppm,No passing
09376.ppm,Speed limit (50km/h)
09377.ppm,Speed limit (30km/h)
09378.ppm,Speed limit (70km/h)
09379.ppm,Speed limit (80km/h)
09380.ppm,No entry
09381.ppm,Speed limit (50km/h)
09382.ppm,Road narrows on the right
09383.ppm,Speed limit (60km/h)
09384.ppm,Turn right ahead
09385.ppm,Speed limit (50km/h)
09386.ppm,End of speed limit (80km/h)
09387.ppm,Priority road
09388.ppm,Priority road
09389.ppm,Wild animals crossing
09390.ppm,General caution
09391.ppm,Beware of ice/snow
09392.ppm,Yield
09393.ppm,Speed limit (100km/h)
09394.ppm,Speed limit (30km/h)
09395.ppm,Yield
09396.ppm,Priority road
09397.ppm,Slippery road
09398.ppm,Traffic signals
09399.ppm,No passing for vechiles over 3.5 metric tons
09400.ppm,Pedestrians
09401.ppm,Keep left
09402.ppm,Right-of-way at the next intersection
09403.ppm,Traffic signals
09404.ppm,Speed limit (50km/h)
09405.ppm,Ahead only
09406.ppm,Turn right ahead
09407.ppm,No passing for vechiles over 3.5 metric tons
09408.ppm,Slippery road
09409.ppm,Ahead only
09410.ppm,No entry
09411.ppm,Speed limit (30km/h)
09412.ppm,Slippery road
09413.ppm,Speed limit (80km/h)
09414.ppm,Keep left
09415.ppm,No entry
09416.ppm,Speed limit (120km/h)
09417.ppm,Keep right
09418.ppm,Road work
09419.ppm,Wild animals crossing
09420.ppm,No passing for vechiles over 3.5 metric tons
09421.ppm,No vechiles
09422.ppm,Speed limit (70km/h)
09423.ppm,Keep right
09424.ppm,Road work
09425.ppm,End of all speed and passing limits
09426.ppm,Yield
09427.ppm,Ahead only
09428.ppm,No entry
09429.ppm,Road work
09430.ppm,No passing
09431.ppm,Dangerous curve to the left
09432.ppm,Speed limit (20km/h)
09433.ppm,Dangerous curve to the right
09434.ppm,Beware of ice/snow
09435.ppm,No vechiles
09436.ppm,Road work
09437.ppm,Bicycles crossing
09438.ppm,Speed limit (70km/h)
09439.ppm,Ahead only
09440.ppm,No entry
09441.ppm,Right-of-way at the next intersection
09442.ppm,Road work
09443.ppm,No passing
09444.ppm,Speed limit (30km/h)
09445.ppm,Right-of-way at the next intersection
09446.ppm,Speed limit (60km/h)
09447.ppm,Speed limit (30km/h)
09448.ppm,Keep right
09449.ppm,Speed limit (30km/h)
09450.ppm,Children crossing
09451.ppm,No passing
09452.ppm,Ahead only
09453.ppm,Beware of ice/snow
09454.ppm,Speed limit (70km/h)
09455.ppm,Ahead only
09456.ppm,Speed limit (30km/h)
09457.ppm,Speed limit (70km/h)
09458.ppm,Speed limit (30km/h)
09459.ppm,General caution
09460.ppm,Speed limit (70km/h)
09461.ppm,Speed limit (30km/h)
09462.ppm,Speed limit (30km/h)
09463.ppm,No passing for vechiles over 3.5 metric tons
09464.ppm,Keep right
09465.ppm,Speed limit (80km/h)
09466.ppm,Keep right
09467.ppm,No passing
09468.ppm,No passing
09469.ppm,Speed limit (30km/h)
09470.ppm,Vechiles over 3.5 metric tons prohibited
09471.ppm,Stop
09472.ppm,Priority road
09473.ppm,End of all speed and passing limits
09474.ppm,Priority road
09475.ppm,Dangerous curve to the right
09476.ppm,Speed limit (80km/h)
09477.ppm,Speed limit (30km/h)
09478.ppm,Speed limit (60km/h)
09479.ppm,No passing for vechiles over 3.5 metric tons
09480.ppm,Speed limit (80km/h)
09481.ppm,Road narrows on the right
09482.ppm,End of no passing
09483.ppm,Turn right ahead
09484.ppm,End of speed limit (80km/h)
09485.ppm,General caution
09486.ppm,Speed limit (80km/h)
09487.ppm,Dangerous curve to the left
09488.ppm,Right-of-way at the next intersection
09489.ppm,No vechiles
09490.ppm,No passing
09491.ppm,No passing for vechiles over 3.5 metric tons
09492.ppm,No vechiles
09493.ppm,Speed limit (70km/h)
09494.ppm,Speed limit (80km/h)
09495.ppm,No passing for vechiles over 3.5 metric tons
09496.ppm,No vechiles
09497.ppm,Priority road
09498.ppm,Speed limit (120km/h)
09499.ppm,Keep right
09500.ppm,Speed limit (80km/h)
09501.ppm,Go straight or right
09502.ppm,Speed limit (80km/h)
09503.ppm,Speed limit (50km/h)
09504.ppm,No passing
09505.ppm,No passing for vechiles over 3.5 metric tons
09506.ppm,Stop
09507.ppm,Keep right
09508.ppm,Speed limit (70km/h)
09509.ppm,Speed limit (120km/h)
09510.ppm,Priority road
09511.ppm,No passing for vechiles over 3.5 metric tons
09512.ppm,Speed limit (60km/h)
09513.ppm,Speed limit (80km/h)
09514.ppm,Ahead only
09515.ppm,Yield
09516.ppm,No passing for vechiles over 3.5 metric tons
09517.ppm,Keep right
09518.ppm,General caution
09519.ppm,Keep right
09520.ppm,Yield
09521.ppm,Speed limit (60km/h)
09522.ppm,Turn right ahead
09523.ppm,No passing
09524.ppm,Stop
09525.ppm,Speed limit (50km/h)
09526.ppm,Speed limit (70km/h)
09527.ppm,No entry
09528.ppm,Keep left
09529.ppm,Speed limit (100km/h)
09530.ppm,End of speed limit (80km/h)
09531.ppm,Keep right
09532.ppm,Speed limit (50km/h)
09533.ppm,Speed limit (70km/h)
09534.ppm,Speed limit (30km/h)
09535.ppm,Yield
09536.ppm,Priority road
09537.ppm,Speed limit (50km/h)
09538.ppm,Right-of-way at the next intersection
09539.ppm,Keep right
09540.ppm,Ahead only
09541.ppm,Speed limit (50km/h)
09542.ppm,No entry
09543.ppm,Road work
09544.ppm,Speed limit (70km/h)
09545.ppm,Bicycles crossing
09546.ppm,No entry
09547.ppm,Bumpy road
09548.ppm,Speed limit (30km/h)
09549.ppm,Yield
09550.ppm,Keep right
09551.ppm,Yield
09552.ppm,Keep right
09553.ppm,Speed limit (30km/h)
09554.ppm,No passing for vechiles over 3.5 metric tons
09555.ppm,Speed limit (60km/h)
09556.ppm,Speed limit (70km/h)
09557.ppm,Speed limit (60km/h)
09558.ppm,Right-of-way at the next intersection
09559.ppm,No passing for vechiles over 3.5 metric tons
09560.ppm,Speed limit (100km/h)
09561.ppm,Priority road
09562.ppm,Speed limit (100km/h)
09563.ppm,Speed limit (80km/h)
09564.ppm,General caution
09565.ppm,Keep right
09566.ppm,Speed limit (80km/h)
09567.ppm,General caution
09568.ppm,Stop
09569.ppm,Traffic signals
09570.ppm,Speed limit (30km/h)
09571.ppm,No passing for vechiles over 3.5 metric tons
09572.ppm,No passing
09573.ppm,Speed limit (30km/h)
09574.ppm,Dangerous curve to the left
09575.ppm,Yield
09576.ppm,Bumpy road
09577.ppm,Speed limit (60km/h)
09578.ppm,Speed limit (70km/h)
09579.ppm,Speed limit (80km/h)
09580.ppm,Speed limit (80km/h)
09581.ppm,Stop
09582.ppm,Ahead only
09583.ppm,Speed limit (50km/h)
09584.ppm,Turn right ahead
09585.ppm,No passing
09586.ppm,Speed limit (80km/h)
09587.ppm,End of speed limit (80km/h)
09588.ppm,Speed limit (60km/h)
09589.ppm,Speed limit (50km/h)
09590.ppm,Speed limit (80km/h)
09591.ppm,Speed limit (120km/h)
09592.ppm,Speed limit (120km/h)
09593.ppm,No vechiles
09594.ppm,Yield
09595.ppm,Speed limit (60km/h)
09596.ppm,Wild animals crossing
09597.ppm,Roundabout mandatory
09598.ppm,Bumpy road
09599.ppm,Speed limit (50km/h)
09600.ppm,Right-of-way at the next intersection
09601.ppm,No passing
09602.ppm,Right-of-way at the next intersection
09603.ppm,Keep right
09604.ppm,Road work
09605.ppm,No passing for vechiles over 3.5 metric tons
09606.ppm,Ahead only
09607.ppm,Bumpy road
09608.ppm,Road work
09609.ppm,Speed limit (80km/h)
09610.ppm,Turn left ahead
09611.ppm,Speed limit (50km/h)
09612.ppm,Turn right ahead
09613.ppm,Turn left ahead
09614.ppm,Bicycles crossing
09615.ppm,Yield
09616.ppm,Speed limit (30km/h)
09617.ppm,Roundabout mandatory
09618.ppm,Speed limit (60km/h)
09619.ppm,Yield
09620.ppm,Speed limit (70km/h)
09621.ppm,Speed limit (30km/h)
09622.ppm,Speed limit (70km/h)
09623.ppm,Yield
09624.ppm,Speed limit (100km/h)
09625.ppm,Speed limit (30km/h)
09626.ppm,Speed limit (50km/h)
09627.ppm,Slippery road
09628.ppm,Speed limit (70km/h)
09629.ppm,End of no passing
09630.ppm,Speed limit (70km/h)
09631.ppm,Speed limit (120km/h)
09632.ppm,Wild animals crossing
09633.ppm,No passing
09634.ppm,Speed limit (50km/h)
09635.ppm,Speed limit (100km/h)
09636.ppm,Speed limit (100km/h)
09637.ppm,Keep right
09638.ppm,Right-of-way at the next intersection
09639.ppm,Ahead only
09640.ppm,Speed limit (120km/h)
09641.ppm,Priority road
09642.ppm,General caution
09643.ppm,Yield
09644.ppm,Speed limit (100km/h)
09645.ppm,Keep left
09646.ppm,Speed limit (50km/h)
09647.ppm,Speed limit (60km/h)
09648.ppm,End of all speed and passing limits
09649.ppm,Children crossing
09650.ppm,Speed limit (60km/h)
09651.ppm,Priority road
09652.ppm,Priority road
09653.ppm,Keep right
09654.ppm,Vechiles over 3.5 metric tons prohibited
09655.ppm,Priority road
09656.ppm,No entry
09657.ppm,Yield
09658.ppm,Keep right
09659.ppm,Speed limit (50km/h)
09660.ppm,Speed limit (100km/h)
09661.ppm,Speed limit (70km/h)
09662.ppm,Children crossing
09663.ppm,Keep right
09664.ppm,General caution
09665.ppm,Keep right
09666.ppm,Keep right
09667.ppm,Speed limit (70km/h)
09668.ppm,No passing
09669.ppm,Speed limit (80km/h)
09670.ppm,Speed limit (100km/h)
09671.ppm,Road work
09672.ppm,Keep right
09673.ppm,End of no passing
09674.ppm,Yield
09675.ppm,Yield
09676.ppm,Priority road
09677.ppm,Speed limit (120km/h)
09678.ppm,Speed limit (60km/h)
09679.ppm,Speed limit (120km/h)
09680.ppm,No passing for vechiles over 3.5 metric tons
09681.ppm,Stop
09682.ppm,General caution
09683.ppm,Keep right
09684.ppm,Speed limit (60km/h)
09685.ppm,No vechiles
09686.ppm,No vechiles
09687.ppm,Children crossing
09688.ppm,Speed limit (50km/h)
09689.ppm,Yield
09690.ppm,Right-of-way at the next intersection
09691.ppm,Right-of-way at the next intersection
09692.ppm,Wild animals crossing
09693.ppm,Yield
09694.ppm,Speed limit (50km/h)
09695.ppm,Speed limit (100km/h)
09696.ppm,Speed limit (80km/h)
09697.ppm,End of all speed and passing limits
09698.ppm,Yield
09699.ppm,Speed limit (70km/h)
09700.ppm,Speed limit (100km/h)
09701.ppm,Road work
09702.ppm,Wild animals crossing
09703.ppm,Speed limit (120km/h)
09704.ppm,No passing for vechiles over 3.5 metric tons
09705.ppm,Speed limit (120km/h)
09706.ppm,No passing
09707.ppm,Speed limit (30km/h)
09708.ppm,Speed limit (120km/h)
09709.ppm,Go straight or left
09710.ppm,Speed limit (60km/h)
09711.ppm,No entry
09712.ppm,Speed limit (50km/h)
09713.ppm,Speed limit (100km/h)
09714.ppm,Priority road
09715.ppm,Beware of ice/snow
09716.ppm,No passing
09717.ppm,General caution
09718.ppm,No entry
09719.ppm,Right-of-way at the next intersection
09720.ppm,Keep right
09721.ppm,Speed limit (70km/h)
09722.ppm,Speed limit (50km/h)
09723.ppm,Speed limit (30km/h)
09724.ppm,No passing for vechiles over 3.5 metric tons
09725.ppm,Yield
09726.ppm,Yield
09727.ppm,Speed limit (30km/h)
09728.ppm,No passing
09729.ppm,No entry
09730.ppm,Dangerous curve to the right
09731.ppm,Bicycles crossing
09732.ppm,Keep right
09733.ppm,Priority road
09734.ppm,Keep right
09735.ppm,Speed limit (50km/h)
09736.ppm,Right-of-way at the next intersection
09737.ppm,Speed limit (50km/h)
09738.ppm,No passing
09739.ppm,Ahead only
09740.ppm,Speed limit (120km/h)
09741.ppm,Yield
09742.ppm,Yield
09743.ppm,Road work
09744.ppm,Vechiles over 3.5 metric tons prohibited
09745.ppm,Speed limit (80km/h)
09746.ppm,Speed limit (70km/h)
09747.ppm,Bicycles crossing
09748.ppm,Dangerous curve to the right
09749.ppm,End of speed limit (80km/h)
09750.ppm,Speed limit (30km/h)
09751.ppm,Right-of-way at the next intersection
09752.ppm,Speed limit (30km/h)
09753.ppm,Speed limit (50km/h)
09754.ppm,No vechiles
09755.ppm,Speed limit (30km/h)
09756.ppm,General caution
09757.ppm,Road work
09758.ppm,Yield
09759.ppm,No passing for vechiles over 3.5 metric tons
09760.ppm,Road work
09761.ppm,Turn right ahead
09762.ppm,Keep right
09763.ppm,Priority road
09764.ppm,Right-of-way at the next intersection
09765.ppm,No passing
09766.ppm,No passing
09767.ppm,Speed limit (30km/h)
09768.ppm,Speed limit (120km/h)
09769.ppm,Speed limit (80km/h)
09770.ppm,Yield
09771.ppm,Speed limit (50km/h)
09772.ppm,No entry
09773.ppm,Dangerous curve to the right
09774.ppm,Double curve
09775.ppm,Slippery road
09776.ppm,No entry
09777.ppm,Speed limit (50km/h)
09778.ppm,Stop
09779.ppm,Keep right
09780.ppm,Children crossing
09781.ppm,Turn right ahead
09782.ppm,Turn left ahead
09783.ppm,Priority road
09784.ppm,Speed limit (120km/h)
09785.ppm,Turn right ahead
09786.ppm,No passing for vechiles over 3.5 metric tons
09787.ppm,Speed limit (50km/h)
09788.ppm,Right-of-way at the next intersection
09789.ppm,Keep right
09790.ppm,Speed limit (120km/h)
09791.ppm,Speed limit (50km/h)
09792.ppm,Speed limit (60km/h)
09793.ppm,Yield
09794.ppm,Speed limit (50km/h)
09795.ppm,Road work
09796.ppm,No entry
09797.ppm,Speed limit (50km/h)
09798.ppm,Wild animals crossing
09799.ppm,Speed limit (50km/h)
09800.ppm,Speed limit (100km/h)
09801.ppm,Beware of ice/snow
09802.ppm,Speed limit (120km/h)
09803.ppm,Priority road
09804.ppm,Speed limit (70km/h)
09805.ppm,No passing
09806.ppm,Stop
09807.ppm,Speed limit (70km/h)
09808.ppm,Ahead only
09809.ppm,Speed limit (60km/h)
09810.ppm,Keep right
09811.ppm,Speed limit (70km/h)
09812.ppm,Yield
09813.ppm,Keep right
09814.ppm,No passing
09815.ppm,Speed limit (70km/h)
09816.ppm,Traffic signals
09817.ppm,No entry
09818.ppm,No entry
09819.ppm,Right-of-way at the next intersection
09820.ppm,Slippery road
09821.ppm,Traffic signals
09822.ppm,Speed limit (60km/h)
09823.ppm,Priority road
09824.ppm,Keep right
09825.ppm,Speed limit (70km/h)
09826.ppm,Wild animals crossing
09827.ppm,Priority road
09828.ppm,Turn right ahead
09829.ppm,Yield
09830.ppm,Ahead only
09831.ppm,No passing
09832.ppm,No passing for vechiles over 3.5 metric tons
09833.ppm,Stop
09834.ppm,No passing
09835.ppm,Yield
09836.ppm,Speed limit (50km/h)
09837.ppm,Speed limit (100km/h)
09838.ppm,Road narrows on the right
09839.ppm,Speed limit (80km/h)
09840.ppm,Keep right
09841.ppm,Speed limit (70km/h)
09842.ppm,Turn left ahead
09843.ppm,Speed limit (70km/h)
09844.ppm,Yield
09845.ppm,No passing
09846.ppm,Road work
09847.ppm,Yield
09848.ppm,Traffic signals
09849.ppm,Yield
09850.ppm,Speed limit (30km/h)
09851.ppm,Yield
09852.ppm,No vechiles
09853.ppm,Road work
09854.ppm,Keep left
09855.ppm,Keep right
09856.ppm,Yield
09857.ppm,End of all speed and passing limits
09858.ppm,No passing for vechiles over 3.5 metric tons
09859.ppm,Speed limit (100km/h)
09860.ppm,No entry
09861.ppm,Speed limit (100km/h)
09862.ppm,Stop
09863.ppm,No vechiles
09864.ppm,Speed limit (30km/h)
09865.ppm,Bumpy road
09866.ppm,Traffic signals
09867.ppm,Speed limit (50km/h)
09868.ppm,Speed limit (30km/h)
09869.ppm,Priority road
09870.ppm,Speed limit (120km/h)
09871.ppm,Priority road
09872.ppm,Keep right
09873.ppm,Priority road
09874.ppm,No entry
09875.ppm,Dangerous curve to the left
09876.ppm,No entry
09877.ppm,No passing
09878.ppm,No passing for vechiles over 3.5 metric tons
09879.ppm,Speed limit (50km/h)
09880.ppm,End of speed limit (80km/h)
09881.ppm,No passing
09882.ppm,Speed limit (50km/h)
09883.ppm,Roundabout mandatory
09884.ppm,Speed limit (50km/h)
09885.ppm,Speed limit (80km/h)
09886.ppm,Speed limit (60km/h)
09887.ppm,No passing for vechiles over 3.5 metric tons
09888.ppm,No passing
09889.ppm,Speed limit (120km/h)
09890.ppm,Children crossing
09891.ppm,Priority road
09892.ppm,No passing for vechiles over 3.5 metric tons
09893.ppm,Speed limit (120km/h)
09894.ppm,End of no passing
09895.ppm,Speed limit (120km/h)
09896.ppm,Keep right
09897.ppm,Bicycles crossing
09898.ppm,Keep right
09899.ppm,Speed limit (70km/h)
09900.ppm,Speed limit (60km/h)
09901.ppm,Speed limit (80km/h)
09902.ppm,Speed limit (50km/h)
09903.ppm,Priority road
09904.ppm,Speed limit (100km/h)
09905.ppm,Beware of ice/snow
09906.ppm,Speed limit (60km/h)
09907.ppm,Road work
09908.ppm,Stop
09909.ppm,Keep right
09910.ppm,No passing
09911.ppm,Wild animals crossing
09912.ppm,Speed limit (30km/h)
09913.ppm,Right-of-way at the next intersection
09914.ppm,No entry
09915.ppm,Yield
09916.ppm,General caution
09917.ppm,No passing
09918.ppm,Keep right
09919.ppm,Yield
09920.ppm,Ahead only
09921.ppm,Roundabout mandatory
09922.ppm,Keep right
09923.ppm,Ahead only
09924.ppm,No vechiles
09925.ppm,Speed limit (50km/h)
09926.ppm,Keep left
09927.ppm,Beware of ice/snow
09928.ppm,Wild animals crossing
09929.ppm,Speed limit (80km/h)
09930.ppm,Stop
09931.ppm,Speed limit (70km/h)
09932.ppm,No entry
09933.ppm,General caution
09934.ppm,Speed limit (30km/h)
09935.ppm,Speed limit (50km/h)
09936.ppm,Children crossing
09937.ppm,Road work
09938.ppm,Speed limit (80km/h)
09939.ppm,Pedestrians
09940.ppm,Priority road
09941.ppm,Keep right
09942.ppm,Speed limit (60km/h)
09943.ppm,Road work
09944.ppm,Yield
09945.ppm,Ahead only
09946.ppm,Speed limit (70km/h)
09947.ppm,Turn right ahead
09948.ppm,Slippery road
09949.ppm,Keep left
09950.ppm,Yield
09951.ppm,Speed limit (30km/h)
09952.ppm,End of speed limit (80km/h)
09953.ppm,Wild animals crossing
09954.ppm,Turn right ahead
09955.ppm,Beware of ice/snow
09956.ppm,Priority road
09957.ppm,No passing
09958.ppm,Right-of-way at the next intersection
09959.ppm,Speed limit (30km/h)
09960.ppm,No passing for vechiles over 3.5 metric tons
09961.ppm,Keep right
09962.ppm,Keep right
09963.ppm,Beware of ice/snow
09964.ppm,Speed limit (50km/h)
09965.ppm,Stop
09966.ppm,Yield
09967.ppm,General caution
09968.ppm,Keep right
09969.ppm,Double curve
09970.ppm,No passing
09971.ppm,Wild animals crossing
09972.ppm,Speed limit (120km/h)
09973.ppm,End of no passing by vechiles over 3.5 metric tons
09974.ppm,Speed limit (50km/h)
09975.ppm,Right-of-way at the next intersection
09976.ppm,Speed limit (60km/h)
09977.ppm,Turn left ahead
09978.ppm,Yield
09979.ppm,No passing
09980.ppm,No passing
09981.ppm,No entry
09982.ppm,Ahead only
09983.ppm,No passing
09984.ppm,Speed limit (120km/h)
09985.ppm,Right-of-way at the next intersection
09986.ppm,Ahead only
09987.ppm,Speed limit (70km/h)
09988.ppm,Speed limit (20km/h)
09989.ppm,Speed limit (70km/h)
09990.ppm,No passing for vechiles over 3.5 metric tons
09991.ppm,Yield
09992.ppm,Priority road
09993.ppm,General caution
09994.ppm,Turn right ahead
09995.ppm,General caution
09996.ppm,Speed limit (80km/h)
09997.ppm,Turn left ahead
09998.ppm,Bumpy road
09999.ppm,Ahead only
10000.ppm,Vechiles over 3.5 metric tons prohibited
10001.ppm,Traffic signals
10002.ppm,Ahead only
10003.ppm,Speed limit (100km/h)
10004.ppm,General caution
10005.ppm,Turn right ahead
10006.ppm,Road work
10007.ppm,No entry
10008.ppm,End of no passing
10009.ppm,Road work
10010.ppm,Speed limit (70km/h)
10011.ppm,No passing
10012.ppm,Speed limit (80km/h)
10013.ppm,Turn left ahead
10014.ppm,Speed limit (30km/h)
10015.ppm,Right-of-way at the next intersection
10016.ppm,Speed limit (30km/h)
10017.ppm,No entry
10018.ppm,Speed limit (30km/h)
10019.ppm,Priority road
10020.ppm,Speed limit (70km/h)
10021.ppm,Traffic signals
10022.ppm,Speed limit (60km/h)
10023.ppm,Speed limit (100km/h)
10024.ppm,Yield
10025.ppm,Speed limit (100km/h)
10026.ppm,Speed limit (60km/h)
10027.ppm,Speed limit (50km/h)
10028.ppm,Right-of-way at the next intersection
10029.ppm,Road work
10030.ppm,Road work
10031.ppm,No passing
10032.ppm,Roundabout mandatory
10033.ppm,End of no passing
10034.ppm,Speed limit (60km/h)
10035.ppm,Traffic signals
10036.ppm,Speed limit (80km/h)
10037.ppm,Speed limit (50km/h)
10038.ppm,Road work
10039.ppm,Pedestrians
10040.ppm,Stop
10041.ppm,No entry
10042.ppm,Priority road
10043.ppm,No passing for vechiles over 3.5 metric tons
10044.ppm,Speed limit (100km/h)
10045.ppm,Speed limit (70km/h)
10046.ppm,Speed limit (60km/h)
10047.ppm,Ahead only
10048.ppm,Wild animals crossing
10049.ppm,General caution
10050.ppm,No passing for vechiles over 3.5 metric tons
10051.ppm,Speed limit (50km/h)
10052.ppm,Right-of-way at the next intersection
10053.ppm,Wild animals crossing
10054.ppm,Speed limit (70km/h)
10055.ppm,Priority road
10056.ppm,No passing for vechiles over 3.5 metric tons
10057.ppm,Yield
10058.ppm,Dangerous curve to the right
10059.ppm,Speed limit (120km/h)
10060.ppm,Keep right
10061.ppm,No passing for vechiles over 3.5 metric tons
10062.ppm,Priority road
10063.ppm,Right-of-way at the next intersection
10064.ppm,Yield
10065.ppm,Speed limit (30km/h)
10066.ppm,Speed limit (70km/h)
10067.ppm,Wild animals crossing
10068.ppm,Speed limit (30km/h)
10069.ppm,Wild animals crossing
10070.ppm,Children crossing
10071.ppm,Speed limit (30km/h)
10072.ppm,Wild animals crossing
10073.ppm,Turn right ahead
10074.ppm,Speed limit (60km/h)
10075.ppm,Speed limit (100km/h)
10076.ppm,Roundabout mandatory
10077.ppm,No passing for vechiles over 3.5 metric tons
10078.ppm,Roundabout mandatory
10079.ppm,Right-of-way at the next intersection
10080.ppm,No passing for vechiles over 3.5 metric tons
